Grand Prix,Driver,Car,Time,Name Code
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:03.670,VUK
Belgium,Juan Manuel  Fangio ,Mercedes-Benz,4:20.600,FAN
Netherlands,Roberto  Mieres ,Maserati,1:40.900,MIE
Great Britain,Stirling  Moss ,Mercedes-Benz,2:00.400,MOS
Italy,Stirling  Moss ,Mercedes-Benz,2:46.900,MOS
Argentina,Juan Manuel  Fangio ,Ferrari,1:45.300,FAN
Monaco,Juan Manuel  Fangio ,Ferrari,1:44.400,FAN
Indianapolis 500,Paul  Russo ,Kurtis Kraft Novi,1:02.320,RUS
Belgium,Stirling  Moss ,Maserati,4:14.700,MOS
France,Juan Manuel  Fangio ,Ferrari,2:25.800,FAN
Great Britain,Stirling  Moss ,Maserati,1:43.200,MOS
Germany,Juan Manuel  Fangio ,Ferrari,9:41.600,FAN
Italy,Stirling  Moss ,Maserati,2:45.500,MOS
Argentina,Stirling  Moss ,Maserati,1:44.700,MOS
Monaco,Juan Manuel  Fangio ,Maserati,1:45.600,FAN
Indianapolis 500,Jim  Rathmann ,Epperly Offenhauser,1:02.750,RAT
France,Luigi  Musso ,Ferrari,2:22.400,MUS
Great Britain,Stirling  Moss ,Vanwall,1:59.200,MOS
Germany,Juan Manuel  Fangio ,Maserati,9:17.400,FAN
Pescara,Stirling  Moss ,Vanwall,9:44.600,MOS
Italy,Tony  Brooks ,Vanwall,1:43.700,BRO
Argentina,Juan Manuel  Fangio ,Maserati,1:41.800,FAN
Monaco,Mike  Hawthorn ,Ferrari,1:40.600,HAW
Netherlands,Stirling  Moss ,Vanwall,1:37.600,MOS
Indianapolis 500,Tony Bettenhausen ,Epperly Offenhauser,1:02.370,BET
Belgium,Mike  Hawthorn ,Ferrari,3:58.300,HAW
France,Mike  Hawthorn ,Ferrari,2:24.900,HAW
Great Britain,Mike  Hawthorn ,Ferrari,1:40.800,HAW
Germany,Stirling  Moss ,Vanwall,9:09.200,MOS
Portugal,Mike  Hawthorn ,Ferrari,2:32.270,HAW
Italy,Phil  Hill ,Ferrari,1:42.900,HIL
Morocco,Stirling  Moss ,Vanwall,2:22.500,MOS
Monaco,Jack  Brabham ,Cooper Climax,1:40.400,BRA
Indianapolis 500,Johnny  Thomson ,Lesovsky Offenhauser,1:01.890,THO
Netherlands,Stirling  Moss ,Cooper Climax,1:36.700,MOS
France,Stirling  Moss ,BRM,2:22.800,MOS
Great Britain,Stirling  Moss ,BRM,1:57.000,MOS
Germany,Tony  Brooks ,Ferrari,2:04.500,BRO
